,Daily Time Spent on Site,Ad Category,Time Category,Age,Area Income(in Rupees),Daily Internet Usage,Gender,Clicked on Ad,Country,Continent
2833,40.04,8,3,41,57846.68,140.46,0,0,Kyrgyz Republic,Asia
2834,37,4,3,30,57877.15,113.69,1,1,Bolivia,South America
2835,82.07,1,0,41,57846.68,187.76,0,1,Cuba,North America
2836,71.28,5,3,32,57691.95,178.92,1,0,Somalia,Africa
2837,51.3,4,2,38,51920.49,226.74,0,0,Senegal,Africa
2838,37,8,0,53,66574,174.88,0,1,France,Europe
2839,40.47,5,3,35,54429.17,236.87,0,0,Hong Kong,Asia
2840,44.64,8,1,36,59240.24,222.25,0,0,French Guiana,South America
2841,70.29,5,2,31,59886.58,207.17,1,0,Bosnia and Herzegovina,Europe
2842,85.84,1,3,44,51317.33,227.63,0,1,Bulgaria,Europe
2843,80.3,8,3,49,45632.51,113.8,0,1,Netherlands,Europe
2844,55.6,1,1,30,50671.6,140.15,1,1,Guinea,Africa
2845,83.71,6,1,45,31092.93,138.71,1,1,Bosnia and Herzegovina,Europe
2846,42.04,8,0,49,45632.51,168.34,0,1,Netherlands,Europe
2847,51.87,1,3,44,31281.01,137.63,1,0,Somalia,Africa
2848,73.72,6,2,32,55424.24,178.92,1,0,Bolivia,South America
2849,81.75,8,1,19,33951.63,195.69,1,0,Burkina Faso,Africa
2850,75.55,4,2,25,50506.44,140.46,0,0,Saint Pierre and Miquelon,North America
2851,84.73,6,1,26,56782.18,131.68,0,1,Senegal,Africa
2852,63.45,8,0,42,58849.77,120.75,1,0,Hong Kong,Asia
2853,81.75,5,2,60,68448.94,186.37,0,1,Burundi,Africa
2854,46.61,8,3,43,53922.43,122.31,0,1,Bangladesh,Asia
2855,56.39,8,1,40,40468.53,194.62,0,1,Uganda,Africa
2856,79.54,6,3,32,69481.85,178.92,1,0,Ghana,Africa
2857,66.18,10,1,28,71222.4,139.01,0,1,Ireland,Europe
2858,83.71,1,0,26,51463.17,131.68,0,0,Angola,Africa
2859,51.87,8,3,49,39031.89,195.69,1,1,Australia,Oceania
2860,80.31,5,2,23,55121.65,217.37,0,0,Czech Republic,Europe
2861,69.62,8,3,34,40183.75,168.34,1,0,Namibia,Africa
2862,81.98,1,2,50,73538.09,226.79,0,1,Northern Mariana Islands,Oceania
2863,80.47,8,1,38,64564.07,122.04,1,0,Tokelau,Oceania
2864,59.22,8,3,49,43450.11,195.69,1,1,Australia,Oceania
2865,55.6,8,2,31,75044.35,207.17,1,0,Hong Kong,Asia
2866,65.77,0,0,42,59243.46,143.13,1,1,Czech Republic,Europe
2867,37.45,6,3,39,48335.2,222.25,1,1,Liechtenstein,Europe
2868,89.05,8,0,44,61428.18,140.95,1,1,Turkey,Asia
2869,80.3,4,2,52,33951.63,186.37,1,1,Portugal,Europe
2870,54.88,5,2,52,45632.51,186.37,0,1,Belgium,Europe
2871,78.74,4,2,38,60514.05,129.8,1,1,Czech Republic,Europe
2872,59.59,8,2,34,40183.75,243.61,1,0,Namibia,Africa
2873,39.3,6,3,32,70492.6,219.94,1,1,Serbia,Europe
2874,40.47,8,3,27,36884.23,131.29,1,0,Gibraltar,Europe
2875,80.51,8,0,55,62784.85,187.76,1,1,Turkey,Asia
2876,37.87,1,3,44,48335.2,187.76,0,1,Kuwait,Asia
2877,41.73,5,3,28,55121.65,204.79,0,0,Zambia,Africa
2878,38.37,8,1,36,76003.47,141.52,0,1,Liechtenstein,Europe
2879,56.39,1,3,19,54251.78,168.34,1,0,Eritrea,Africa
2880,67.56,1,3,28,71222.4,207.17,0,0,Zambia,Africa
2881,51.56,8,1,29,53431.35,167.22,0,1,Uganda,Africa
2882,55.6,3,2,35,73889.99,225.58,0,0,Niger,Africa
2883,66.08,5,2,33,60953.93,215.18,0,0,Myanmar,Asia
2884,80.47,4,3,48,57868.44,123.13,1,1,Turkey,Asia
2885,40.47,5,0,35,58183.04,167.42,0,0,Hong Kong,Asia
2886,47.74,8,3,30,42696.67,111.94,1,0,Bolivia,South America
2887,44.4,8,2,30,54324.73,140.15,0,1,Palestinian Territory,Asia
2888,51.87,1,2,35,73889.99,225.58,0,0,Lao People's Democratic Republic,Asia
2889,53.68,1,0,27,39193.45,225,1,0,Estonia,Europe
2890,58.18,1,1,19,62772.42,201.58,1,0,French Guiana,South America
2891,59.59,7,3,34,59785.94,219.69,0,1,Brunei Darussalam,Asia
2892,41.73,5,0,45,74903.41,158.42,1,1,Saudi Arabia,Asia
2893,82.07,3,1,35,57846.68,259.76,0,0,Hungary,Europe
2894,71.84,8,2,39,23936.86,144.27,0,0,Madagascar,Africa
2895,43.84,8,3,36,48335.2,124.44,0,1,Mayotte,Africa
2896,78.67,1,2,31,56180.93,207.17,1,0,Croatia,Europe
2897,51.87,7,1,33,55642.32,204.02,1,0,Indonesia,Asia
2898,89.05,8,0,51,57868.44,178.75,1,1,Malta,Europe
2899,51.87,2,3,60,59448.44,123.86,0,0,Burundi,Africa
2900,80.3,8,3,49,45632.51,113.8,0,1,Netherlands,Europe
2901,49.42,4,0,25,50506.44,241.03,0,0,Micronesia,Oceania
2902,80.46,5,2,25,50506.44,176.28,1,0,Greenland,North America
2903,65.56,8,2,46,60968.62,231.95,1,1,Switzerland,Europe
2904,55.6,4,2,35,42993.48,225.58,1,0,Niger,Africa
2905,59.05,1,3,50,43974.49,123.13,0,1,Heard Island and McDonald Islands,Antarctica
2906,76.81,8,1,28,67669.06,217.37,1,0,Venezuela,South America
2907,42.04,8,3,49,39031.89,195.69,1,1,Australia,Oceania
2908,38.96,4,1,25,50506.44,241.03,1,0,Hong Kong,Asia
2909,66.49,8,2,49,43450.11,195.69,1,1,Netherlands,Europe
2910,33.33,1,1,41,63363.04,255.57,1,1,Turkey,Asia
2911,51.24,8,3,36,61610.05,140.46,0,1,Uganda,Africa
2912,82.87,5,2,31,55121.65,204.79,0,0,French Guiana,South America
2913,37,4,3,26,63430.33,140.46,0,0,Qatar,Asia
2914,65.4,5,1,29,72203.96,216.49,1,0,Senegal,Africa
2915,82.07,5,3,43,58633.63,121.28,0,1,Bangladesh,Asia
2916,56.39,8,3,29,69646.35,153.76,0,1,Ireland,Europe
2917,56.39,8,0,27,66815.54,168.92,1,0,Switzerland,Europe
2918,59.05,4,3,50,43974.49,123.13,1,1,Turkey,Asia
2919,52.68,1,3,32,70505.06,172.83,0,0,Bahamas,North America
2920,40.47,3,3,35,70012.83,158.29,0,0,Myanmar,Asia
2921,59.51,2,0,29,51868.85,153.76,0,1,Australia,Oceania
2922,47.74,1,3,51,42362.49,117.3,1,1,Denmark,Europe
2923,56.39,5,2,29,69646.35,200.71,0,0,Burundi,Africa
2924,59.51,8,1,40,62669.59,130.86,1,1,Switzerland,Europe
2925,82.07,1,2,22,51257.26,139.34,0,0,United States of America,North America
2926,37.87,5,3,38,64564.07,163.48,1,1,Northern Mariana Islands,Oceania
2927,55.6,7,1,36,32549.95,141.52,0,1,Liechtenstein,Europe
2928,81.59,8,3,35,74445.18,235.29,1,0,Myanmar,Asia
2929,84.98,8,2,40,31265.75,198.45,1,1,Ethiopia,Africa
2930,43.6,4,3,35,39840.55,120.06,0,1,Saint Vincent and the Grenadines,North America
2931,46.61,5,2,30,50671.6,133.9,1,1,Bolivia,South America
2932,81.58,8,3,41,54755.71,140.15,1,0,Korea,Asia
2933,47.64,1,3,29,53673.08,208.05,0,0,Burundi,Africa
2934,65.59,5,2,39,71455.62,221.79,1,1,Luxembourg,Europe
2935,78.7,1,3,40,62669.59,111.94,1,1,Portugal,Europe
2936,55.6,5,3,35,25603.93,236.87,0,0,Ukraine,Europe
2937,56.57,3,1,44,74180.05,218.22,0,0,American Samoa,Oceania
2938,75.55,5,2,26,59240.24,140.46,0,0,Angola,Africa
2939,46.61,7,0,41,64828,120.63,0,1,El Salvador,North America
2940,46.28,6,1,26,46033.73,228.78,1,0,Hong Kong,Asia
2941,83.67,1,2,44,57846.68,227.63,0,1,Bulgaria,Europe
2942,80.3,8,0,28,53058.91,180.88,0,1,Ghana,Africa
2943,81.75,7,3,19,62060.11,113.53,0,0,Burundi,Africa
2944,41.73,1,3,25,50671.6,241.03,1,0,Georgia,Asia
2945,51.24,8,1,36,76003.47,140.46,0,1,Liechtenstein,Europe
2946,81.75,5,3,24,52252.91,182.2,0,0,Bahrain,Asia
2947,56.39,1,3,46,41768.13,229.22,1,1,Czech Republic,Europe
2948,63.26,8,0,42,58151.87,120.75,1,0,United Kingdom,Europe
2949,66.08,1,3,46,39939.39,212.92,0,1,Saudi Arabia,Asia
2950,55.6,6,0,24,64698.58,178.92,1,0,Algeria,Africa
2951,44.98,8,3,34,20592.99,168.34,0,0,Eritrea,Africa
2952,82.07,1,1,22,63363.04,187.76,0,0,Angola,Africa
2953,78.36,1,2,50,43974.49,123.13,0,1,Malawi,Africa
2954,46.14,5,3,31,27262.51,204.79,0,0,American Samoa,Oceania
2955,75.42,6,2,30,66574,111.94,1,0,Bolivia,South America
2956,59.59,8,2,55,62784.85,201.15,0,1,Tonga,Oceania
2957,41.73,1,3,28,75044.35,207.17,0,0,Ghana,Africa
2958,63.45,4,2,24,61601.05,182.2,0,0,Algeria,Africa
2959,75.03,7,3,34,59785.94,183.82,0,1,Turkmenistan,Asia
2960,41.73,8,2,34,34191.23,160.03,1,1,Saint Vincent and the Grenadines,North America
2961,82.07,5,3,43,53647.81,122.31,0,1,Cambodia,Asia
2962,59.05,1,3,48,43974.49,212.38,0,1,Heard Island and McDonald Islands,Antarctica
2963,35.61,3,1,27,47575.44,214.42,0,0,Ukraine,Europe
2964,47.74,8,3,29,53431.35,217.1,1,0,Algeria,Africa
2965,79.54,5,3,41,50628.31,158.42,1,1,Micronesia,Oceania
2966,40.04,1,2,23,50723.67,172.81,0,0,Serbia,Europe
2967,65.07,8,3,22,73882.91,121.07,0,0,United States of America,North America
2968,39.96,8,1,26,63430.33,241.03,0,0,Faroe Islands,Europe
2969,41.73,5,2,31,57739.03,207.17,1,0,Singapore,Asia
2970,37.87,8,3,40,41232.89,123.51,0,1,Uganda,Africa
2971,53.68,8,3,36,25682.65,239.94,1,0,Korea,Asia
2972,54.88,6,1,22,31215.88,156.36,0,0,Austria,Europe
2973,55.6,6,3,32,55424.24,178.92,1,0,Latvia,Europe
2974,43.49,5,1,37,67132.46,129.31,0,0,Cook Islands,Oceania
2975,54.97,4,2,33,68094.85,230.95,0,0,Indonesia,Asia
2976,56.3,3,0,39,55121.65,143.79,1,1,American Samoa,Oceania
2977,61.09,4,1,26,56694.12,190.17,0,0,Senegal,Africa
2978,69.62,8,3,34,34191.23,114.53,1,0,Equatorial Guinea,Africa
2979,68.01,1,0,33,56782.18,120.75,0,0,Burundi,Africa
2980,56.16,4,1,29,72203.96,136.18,1,0,Australia,Oceania
2981,65.59,4,3,28,68448.94,258.62,1,1,Libyan Arab Jamahiriya,Africa
2982,80.31,5,2,31,61840.26,207.17,1,0,Singapore,Asia
2983,36.56,8,3,52,33951.63,218.61,1,1,Portugal,Europe
2984,60.23,4,1,41,57846.68,227.63,0,1,El Salvador,North America
2985,74.06,8,3,47,60283.98,168.34,0,1,Samoa,Oceania
2986,79.52,5,0,44,48335.2,137.24,0,1,Micronesia,Oceania
2987,41.73,5,3,31,59886.58,207.17,1,0,Bosnia and Herzegovina,Europe
2988,68.88,8,2,42,59243.46,143.13,1,1,Czech Republic,Europe
2989,54.47,10,3,35,73889.99,226.54,1,0,Hong Kong,Asia
2990,80.47,8,0,38,57868.44,170.13,0,1,Lao People's Democratic Republic,Asia
2991,79.52,4,2,31,59886.58,133.17,1,1,Palestinian Territory,Asia
2992,80.31,1,2,31,56180.93,207.17,0,0,Bouvet Island (Bouvetoya),Antarctica
2993,69.86,8,3,33,49101.67,120.75,1,0,Niger,Africa
2994,49.21,1,3,30,48918.55,140.46,0,0,Cameroon,Africa
2995,54.88,5,3,43,32635.7,167.86,1,1,Northern Mariana Islands,Oceania
2996,86.06,1,3,32,55424.24,172.83,0,0,Venezuela,South America
2997,89.05,10,3,25,50671.6,141.89,1,0,Hong Kong,Asia
2998,82.07,8,2,33,74535.94,162.03,0,0,Macedonia,Europe
2999,80.51,8,3,48,62784.85,212.38,1,1,Turkey,Asia
3000,37,8,2,30,33293.78,228.81,0,1,Guinea,Africa
3001,83.47,8,3,34,59785.94,160.03,0,0,Turkmenistan,Asia
3002,66.12,0,3,37,67132.46,181.25,0,0,Gabon,Africa
3003,84.98,6,3,32,69481.85,178.92,1,1,Saudi Arabia,Asia
3004,51.38,4,2,28,71222.4,180.88,0,0,Gabon,Africa
3005,37,8,0,25,50671.6,178.85,1,0,Georgia,Asia
3006,47.64,5,1,29,64267.88,129.33,0,1,Senegal,Africa
3007,40.04,1,1,23,60514.05,172.81,1,0,Czech Republic,Europe
3008,44.4,1,0,30,57877.15,172.83,0,0,Bahamas,North America
3009,55.6,6,0,24,52252.91,172.83,1,0,Algeria,Africa
3010,56.16,8,2,30,57877.15,172.83,0,0,Bolivia,South America
3011,41.73,8,1,23,32252.38,217.37,1,0,Ethiopia,Africa
3012,55.6,1,3,54,50333.72,161.16,0,1,Australia,Oceania
3013,55.6,8,2,39,19991.72,258.62,0,1,Poland,Europe
3014,39.36,1,3,23,59785.94,204.22,0,0,Samoa,Oceania
3015,70.29,8,0,24,52252.91,182.2,0,1,El Salvador,North America
3016,80.51,8,2,55,57014.84,187.76,0,1,Netherlands,Europe
3017,55.6,5,3,35,73889.99,236.87,0,0,Myanmar,Asia
3018,89.05,8,3,44,57846.68,163.48,1,1,Turkey,Asia
3019,44.4,6,3,53,57877.15,111.94,1,1,Bolivia,South America
3020,88.04,8,3,26,56694.12,190.17,0,1,Tonga,Oceania
3021,43.49,7,0,27,36884.23,171.07,1,0,Switzerland,Europe
3022,55.6,1,2,54,53188.69,240.63,0,1,Palestinian Territory,Asia
3023,54.88,10,2,43,39616,120.75,1,0,Vanuatu,Oceania
3024,82.07,6,0,22,54774.77,187.76,0,0,Austria,Europe
3025,71.84,7,2,31,56180.93,207.17,0,0,Madagascar,Africa
3026,80.31,4,3,28,71222.4,217.37,0,0,Gabon,Africa
3027,59.59,8,2,34,59785.94,168.34,0,1,Turkmenistan,Asia
3028,86.06,1,0,35,73889.99,221.18,1,0,Niger,Africa
3029,52.68,6,3,32,55424.24,178.92,1,0,Latvia,Europe
3030,40.04,3,1,26,35521.88,131.68,1,0,United States Virgin Islands,North America
3031,61.22,8,0,45,59610.81,137.24,1,1,Bosnia and Herzegovina,Europe
3032,66.12,8,3,28,53431.35,230.52,0,1,Liberia,Africa
3033,60.72,5,2,28,67669.06,217.37,0,0,Serbia,Europe
3034,46.61,8,1,40,27086.4,158.42,1,1,French Guiana,South America
3035,43.49,8,3,47,73049.3,195.69,1,0,Afghanistan,Asia
3036,65.07,8,3,34,34191.23,160.03,1,0,Equatorial Guinea,Africa
3037,80.3,5,2,52,33951.63,186.37,0,1,Cote d'Ivoire,Africa
3038,81.58,1,2,41,50628.31,255.57,1,1,Turkey,Asia
3039,80.47,8,3,48,66291.67,156.97,1,1,Northern Mariana Islands,Oceania
3040,82.7,8,0,25,50723.67,158.29,1,0,Zimbabwe,Africa
3041,70.09,7,0,45,74903.41,124.67,0,1,Taiwan,Asia
3042,46.61,1,3,41,70492.6,234.26,1,1,United States of America,North America
3043,67.71,8,3,49,45632.51,113.8,0,1,Netherlands,Europe
3044,52.84,3,0,42,60514.05,199.43,1,1,Czech Republic,Europe
3045,72.07,1,2,25,50671.6,141.89,1,0,Hong Kong,Asia
3046,35.61,4,2,30,54324.73,140.15,0,1,Cambodia,Asia
3047,39.96,1,3,45,59886.58,174.88,0,1,Tonga,Oceania
3048,51.24,7,2,36,29398.61,140.46,0,1,Uganda,Africa
3049,46.61,7,0,45,67575.12,174.88,0,1,Taiwan,Asia
3050,62.42,1,3,43,27241.11,198.45,1,1,Turkey,Asia
3051,45.7,8,2,45,60315.19,110.66,1,1,Bosnia and Herzegovina,Europe
3052,60.23,1,2,41,50628.31,126.39,1,1,Turkey,Asia
3053,78.84,8,1,36,59240.24,176.7,0,0,Ukraine,Europe
3054,85.62,4,3,24,52252.91,182.2,0,0,Algeria,Africa
3055,39.3,1,3,32,55424.24,172.83,0,0,Fiji,Oceania
3056,62.14,4,2,42,66025.11,243.61,1,1,Czech Republic,Europe
3057,49.21,1,2,30,54286.1,222.11,0,0,Qatar,Asia
3058,70.29,6,3,32,69481.85,178.92,1,0,Somalia,Africa
3059,65.77,10,1,26,46033.73,180.47,0,1,Serbia,Europe
3060,40.47,8,1,36,76003.47,140.46,0,0,Montenegro,Europe
3061,65.56,4,1,52,58966.22,229.12,0,1,Cuba,North America
3062,81.58,5,3,43,57846.68,121.28,0,1,Bangladesh,Asia
3063,47.64,5,2,29,69718.19,186.37,0,1,Belgium,Europe
3064,55.6,8,3,24,52252.91,167.22,0,1,El Salvador,North America
3065,40.04,7,1,23,55121.65,172.81,0,0,Serbia,Europe
3066,59.05,8,3,48,52736.33,212.38,1,1,Turkey,Asia
3067,83.86,10,3,50,41547.62,178.92,1,0,Luxembourg,Europe
3068,41.73,5,2,26,74903.41,228.78,1,0,Albania,Europe
3069,55.6,1,3,39,42993.48,221.18,1,1,Luxembourg,Europe
3070,90.75,8,3,34,59785.94,160.03,0,0,Turkmenistan,Asia
3071,65.59,1,0,39,37334.78,221.79,1,0,Luxembourg,Europe
3072,46.61,1,2,34,34191.23,140.67,1,1,Norfolk Island,Oceania
3073,55.6,1,3,29,53673.08,208.05,0,0,Burundi,Africa
3074,33.33,8,0,45,59886.58,137.24,1,1,Bosnia and Herzegovina,Europe
3075,74.59,5,2,51,60953.93,215.18,0,0,Mauritania,Africa
3076,56.39,1,0,46,40468.53,153.76,0,1,Czech Republic,Europe
3077,89.05,1,3,50,57868.44,163.48,1,1,Turkey,Asia
3078,84.59,1,1,28,71222.4,180.88,0,0,Ghana,Africa
3079,39.36,5,0,31,56180.93,207.17,0,0,Singapore,Asia
3080,80.31,7,0,42,43241.19,238.58,0,1,Czech Republic,Europe
3081,40.04,8,3,34,59785.94,160.03,0,0,Turkmenistan,Asia
3082,69.88,8,2,34,34191.23,160.03,1,1,Hungary,Europe
3083,67.91,5,1,31,57739.03,207.17,1,0,Hong Kong,Asia
3084,39.96,5,0,26,67575.12,131.68,0,0,Albania,Europe
3085,56.3,1,1,37,32252.38,217.37,0,0,Croatia,Europe
3086,49.21,1,0,30,74535.94,140.46,0,0,Qatar,Asia
3087,41.73,5,1,31,61840.26,207.17,1,0,Croatia,Europe
3088,80.3,8,3,49,39031.89,195.69,1,1,Australia,Oceania
3089,43.49,8,3,37,23936.86,251.08,1,0,Tokelau,Oceania
3090,82.73,8,2,51,74535.94,120.37,0,1,Vanuatu,Oceania
3091,46.2,8,2,34,59785.94,160.03,0,1,Turkmenistan,Asia
3092,55.79,4,0,24,58019.64,182.2,0,0,Qatar,Asia
3093,55.6,1,3,32,70505.06,172.83,0,0,Kuwait,Asia
3094,54.47,3,3,35,25603.93,225.58,0,0,Qatar,Asia
3095,64.24,1,0,30,74535.94,140.46,0,0,Qatar,Asia
3096,61.22,4,3,28,67669.06,217.37,0,0,Gabon,Africa
3097,56.39,8,1,40,73882.91,221.98,1,1,Puerto Rico,North America
3098,80.91,1,3,32,55424.24,172.83,1,0,Latvia,Europe
3099,61.22,8,1,45,59610.81,137.24,1,1,Switzerland,Europe
3100,70.39,5,3,35,36884.23,150.99,1,0,Ukraine,Europe
3101,73.72,8,0,35,51119.93,226.54,1,1,Moldova,Europe
3102,65.59,5,3,39,65953.76,144.27,1,0,Belize,North America
3103,82.07,5,3,43,68787.09,121.28,0,1,Finland,Europe
3104,65.59,8,3,54,67132.46,217.37,0,1,Moldova,Europe
3105,41.73,1,3,31,61840.26,207.17,1,1,Czech Republic,Europe
3106,74.54,1,2,41,64828,156.3,0,0,Slovenia,Europe
3107,55.6,1,2,39,52416.18,182.2,0,0,Cook Islands,Oceania
3108,68.94,1,0,31,56180.93,207.17,0,0,Guam,Oceania
3109,82.07,6,3,22,48335.2,176.98,0,0,Bulgaria,Europe
3110,71.28,8,2,54,48867.36,135.24,0,1,Myanmar,Asia
3111,59.05,8,3,50,43974.49,123.13,0,1,United States of America,North America
3112,37.45,4,3,31,58235.21,207.17,0,0,Czech Republic,Europe
3113,84.73,8,2,30,54324.73,174.88,0,1,United States of America,North America
3114,37,1,2,30,57877.15,244.91,1,0,Bolivia,South America
3115,79.54,1,3,44,48335.2,122.31,0,1,Micronesia,Oceania
3116,40.04,8,1,23,25739.09,172.81,0,0,Gabon,Africa
3117,51.56,1,0,46,66504.16,130.86,0,1,Australia,Oceania
3118,71.28,1,3,54,38609.2,182.2,0,1,Cambodia,Asia
3119,66.12,3,1,37,53058.91,110.84,0,0,Australia,Oceania
3120,71.84,8,0,31,27262.51,143.04,0,1,Czech Republic,Europe
3121,70.29,6,3,32,69481.85,178.92,1,1,Saudi Arabia,Asia
3122,55.6,3,2,24,52252.91,182.2,0,0,Algeria,Africa
3123,54.39,8,3,34,34191.23,168.34,1,0,Equatorial Guinea,Africa
3124,60.53,8,2,22,67058.72,136.21,0,0,Russian Federation,Europe
3125,83.71,8,1,26,56694.12,131.68,0,1,Tonga,Oceania
3126,74.06,1,3,31,56180.93,207.17,0,0,Turks and Caicos Islands,North America
3127,59.05,8,3,21,64011.26,139.34,0,1,Bangladesh,Asia
3128,80.3,8,1,49,45632.51,113.8,0,1,Netherlands,Europe
3129,55.6,8,3,54,62729.4,182.2,1,0,Somalia,Africa
3130,56.01,10,3,29,69718.19,158.56,1,1,Ethiopia,Africa
3131,77.14,1,3,33,60953.93,125.27,0,0,Indonesia,Asia
3132,51.87,8,3,49,45632.51,195.69,0,1,Netherlands,Europe
3133,59.22,8,3,40,27086.4,221.98,1,1,Saint Lucia,North America
3134,74.54,7,0,45,67575.12,174.88,0,1,Micronesia,Oceania
3135,74.58,3,0,40,38067.08,129.33,0,1,Uruguay,South America
3136,69.62,8,3,34,59785.94,160.03,1,0,Namibia,Africa
3137,80.3,8,3,49,45632.51,113.8,0,1,Netherlands,Europe
3138,55.6,5,1,39,65953.76,141.89,1,0,French Polynesia,Oceania
3139,54.88,7,3,48,52736.33,123.13,0,1,Tonga,Oceania
3140,79.52,10,2,49,64564.07,187.76,1,1,Tanzania,Africa
3141,55.6,1,0,35,42993.48,221.18,1,0,Myanmar,Asia
3142,39.3,7,1,45,57195.96,124.67,0,1,Taiwan,Asia
3143,85.61,8,3,22,31215.88,157.04,0,0,Eritrea,Africa
3144,39.36,4,2,42,62161.26,238.58,0,1,Costa Rica,North America
3145,35.33,8,3,29,53431.35,158.56,1,1,Micronesia,Oceania
3146,73.38,6,3,29,61172.07,196.61,0,0,Senegal,Africa
3147,55.6,1,2,54,47258.59,108.03,0,1,Czech Republic,Europe
3148,84.73,8,2,51,51868.85,183.82,0,1,Uganda,Africa
3149,78.36,8,0,34,59785.94,234.75,0,1,Brunei Darussalam,Asia
3150,41.73,1,3,28,71222.4,182.65,0,0,Zambia,Africa
3151,49.58,8,3,28,67132.46,172.81,0,0,Ireland,Europe
3152,47.53,3,2,32,42995.8,182.2,0,1,Saudi Arabia,Asia
3153,51.3,9,0,26,51463.17,131.68,0,0,Cameroon,Africa
3154,51.87,8,2,37,42650.32,195.69,1,1,Australia,Oceania
3155,55.6,5,2,35,73889.99,219.91,0,0,Ukraine,Europe
3156,59.59,0,3,34,34191.23,231.94,1,1,Namibia,Africa
3157,34.3,8,2,34,40183.75,183.82,1,1,Hungary,Europe
3158,59.59,1,3,43,55642.32,157.04,1,1,Northern Mariana Islands,Oceania
3159,37,4,1,52,27241.11,178.92,1,1,Micronesia,Oceania
3160,69.15,1,3,27,14548.06,239.32,0,0,Estonia,Europe
3161,55.6,1,2,39,75044.35,204.79,0,0,Cameroon,Africa
3162,80.47,8,1,25,63879.72,140.46,0,1,Hong Kong,Asia
3163,74.59,4,2,42,65816.38,243.61,1,1,Czech Republic,Europe
3164,44.4,1,1,53,37345.34,182.2,1,1,Bolivia,South America
3165,54.08,3,3,36,32549.95,115.26,1,0,French Polynesia,Oceania
3166,41.73,4,0,31,56180.93,207.17,0,0,Croatia,Europe
3167,78.7,4,2,33,68094.85,215.18,1,0,Vanuatu,Oceania
3168,70.58,8,3,27,39193.45,193.29,1,1,Guinea,Africa
3169,71.84,4,1,39,39840.55,124.44,0,1,Lao People's Democratic Republic,Asia
3170,71.28,6,1,54,53188.69,161.16,1,1,Moldova,Europe
3171,39.36,4,2,42,60514.05,238.58,0,1,United Kingdom,Europe
3172,66.03,3,3,32,70505.06,172.83,0,1,Saudi Arabia,Asia
3173,83.71,1,3,38,70582.55,231.37,1,1,Western Sahara,Africa
3174,66.18,1,0,28,71222.4,217.37,0,0,Zambia,Africa
3175,50.19,8,2,36,29398.61,140.46,0,0,Honduras,North America
3176,55.6,1,2,35,25603.93,236.87,0,1,Saint Vincent and the Grenadines,North America
3177,83.71,7,2,38,70582.55,206.98,1,0,Finland,Europe
3178,59.22,3,3,37,53058.91,139.32,0,0,Tajikistan,Asia
3179,40.04,1,2,21,41521.28,187.76,1,1,Northern Mariana Islands,Oceania
3180,88.12,7,1,26,53549.94,131.68,1,0,French Guiana,South America
3181,55.6,8,0,39,48335.2,124.44,0,1,French Southern Territories,Antarctica
3182,60.83,6,3,32,55424.24,178.92,1,1,Saudi Arabia,Asia
3183,41.16,8,3,30,58677.69,228.81,0,0,Qatar,Asia
3184,59.05,1,2,22,63363.04,139.34,1,0,Bulgaria,Europe
3185,81.75,4,2,33,43974.49,137.43,1,0,Vanuatu,Oceania
3186,44.96,10,2,33,55984.89,204.27,1,1,Vanuatu,Oceania
3187,76.56,0,2,38,60514.05,146.8,0,0,Bahrain,Asia
3188,69.15,8,0,46,54286.1,191.82,0,1,Australia,Oceania
3189,74.63,1,0,39,74623.27,204.79,0,0,Cameroon,Africa
3190,81.75,8,3,29,69646.35,200.71,0,0,Burundi,Africa
3191,57.86,8,3,40,57330.43,140.46,0,1,El Salvador,North America
3192,39.96,4,0,35,54429.17,131.72,0,0,Albania,Europe
3193,79.6,4,2,42,43241.19,199.43,1,1,Czech Republic,Europe
3194,85.56,7,0,45,67575.12,174.88,0,1,Saudi Arabia,Asia
3195,49.21,4,1,29,69718.19,158.56,0,0,Austria,Europe
3196,83.47,8,0,43,43241.88,168.34,0,1,Cote d'Ivoire,Africa
3197,55.6,10,3,35,73889.99,182.2,1,0,Niger,Africa
3198,55.6,1,3,24,52252.91,182.2,0,0,Algeria,Africa
3199,56.39,1,3,54,54286.1,218.61,0,1,Bouvet Island (Bouvetoya),Antarctica
3200,61.09,8,0,26,51463.17,202.18,0,0,Cameroon,Africa
3201,60.39,5,0,31,57739.03,207.17,1,0,Singapore,Asia
3202,55.6,5,3,35,25603.93,236.87,0,0,Ukraine,Europe
3203,37,8,2,30,57877.15,172.83,0,0,Bolivia,South America
3204,62.14,1,0,35,53898.89,137.63,1,1,Belize,North America
3205,83.71,4,1,38,57868.44,108.15,1,1,Western Sahara,Africa
3206,82.07,8,2,41,63363.04,187.76,0,1,Bahamas,North America
3207,56.16,8,3,29,69718.19,123.51,0,1,Uganda,Africa
3208,39.96,8,1,45,59886.58,141.89,1,0,Hong Kong,Asia
3209,54.88,8,3,43,68787.09,165.56,0,0,Cameroon,Africa
3210,42.04,8,1,49,39031.89,195.69,0,1,Netherlands,Europe
3211,55.6,1,0,39,65953.76,128.62,1,0,Myanmar,Asia
3212,51.24,8,3,39,48335.2,124.44,0,1,Liechtenstein,Europe
3213,70.96,5,3,41,59243.46,109.29,1,0,Puerto Rico,North America
3214,55.6,1,0,24,52252.91,230.18,1,1,Mayotte,Africa
3215,54.39,1,3,23,61617.98,211.38,1,1,Denmark,Europe
